dataset,field_name,description,data_type,nullable,business_definition,data_owner,classification,quality_rule
products,product_photos_qty,Number of photos in the product listing,float64,Yes,Descriptive attribute; legitimately missing when category is missing,Catalog Data Team,Public,
products,product_weight_g,Weight of the product in grams,float64,Yes,"Never imputed with 0 — null means unmeasured, not weightless",Catalog Data Team,Public,DQ029
products,product_length_cm,Length of the product in centimeters,float64,Yes,Used for freight/logistics calculations,Catalog Data Team,Public,
products,product_height_cm,Height of the product in centimeters,float64,Yes,Used for freight/logistics calculations,Catalog Data Team,Public,
products,product_width_cm,Width of the product in centimeters,float64,Yes,Used for freight/logistics calculations,Catalog Data Team,Public,
sellers,seller_id,Unique identifier for a seller,object,No,Primary key of the sellers table,Marketplace Data Team,Internal,DQ023
sellers,seller_zip_code_prefix,First 5 digits of the seller's postal code,int64,No,Used for geographic/logistics analysis,Marketplace Data Team,Internal,
sellers,seller_city,City of the seller,object,No,Free-text city name; standardized to lowercase in processed layer,Marketplace Data Team,Internal,
sellers,seller_state,Two-letter Brazilian state code of the seller,object,No,Must match one of the 27 official Brazilian state codes,Marketplace Data Team,Internal,DQ024
geolocation,geolocation_zip_code_prefix,First 5 digits of a Brazilian postal code,int64,No,Grain of the raw table is observation-level; deduplicated to prefix-level for the analytical lookup,Geospatial Data Team,Internal,DQ030
geolocation,geolocation_lat,Latitude of the observation,float64,No,,Geospatial Data Team,Internal,
geolocation,geolocation_lng,Longitude of the observation,float64,No,,Geospatial Data Team,Internal,
geolocation,geolocation_city,City name associated with the zip prefix,object,No,Free-text; standardized to lowercase,Geospatial Data Team,Internal,
geolocation,geolocation_state,State code associated with the zip prefix,object,No,,Geospatial Data Team,Internal,
category_translation,product_category_name,Product category name in Portuguese,object,No,Join key to products.product_category_name,Catalog Data Team,Public,
category_translation,product_category_name_english,Product category name translated to English,object,No,Used for English-language reporting and dashboards,Catalog Data Team,Public,
